category,flow,method,endpoint,oauth_scope_restricted_tokens,min_role_or_permission,key_params,notes
Auth & OAuth,Register an OAuth application,GET/POST,/api/v4/oauth/applications,n/a,HCB admin (Doorkeeper admin_authenticator) on production; anyone in dev,"name, redirect_uri, scopes, confidential","Web UI (Doorkeeper). Grants client_id + client_secret. Scopes to register: read write and/or granular ones (restricted, receipts:read, receipts:write, ledgers:read, organizations:read, card_grants:write, user_lookup, event_followers, admin:read, admin:write, pii). authorized_applications controller is skipped (no user-facing 'my authorized apps' page)."
Auth & OAuth,Authorize an app on a user's behalf (authorization code flow),GET then POST,/api/v4/oauth/authorize,n/a,Any signed-in HCB user (blocked if account is locked),"client_id, redirect_uri, response_type=code, scope (space-separated)",User sees consent screen and approves; browser is redirected to redirect_uri with ?code=. HTTPS enforced on redirect URIs except localhost.
Auth & OAuth,Exchange authorization code for access + refresh tokens,POST,/api/v4/oauth/token,n/a,n/a (client credentials),"grant_type=authorization_code, code, client_id, client_secret, redirect_uri","Returns access_token (prefix hcb_, expires in 2 hours), refresh_token, scope. Content-Type x-www-form-urlencoded or JSON."
Auth & OAuth,Sign in from a CLI or device (device authorization flow) — step 1: get device code,POST,/api/v4/oauth/authorize_device,n/a,n/a (client credentials),client_id,"Returns device_code, user_code, verification_uri, interval (doorkeeper-device_authorization_grant gem)."
Auth & OAuth,Device flow — step 2: user verifies device in browser,GET then POST,/api/v4/oauth/device,n/a,Any signed-in HCB user,user_code,User visits the page and enters/confirms the user_code to authorize the device.
Auth & OAuth,Device flow — step 3: poll for token,POST,/api/v4/oauth/token,n/a,n/a (client credentials),"grant_type=urn:ietf:params:oauth:grant-type:device_code, device_code, client_id",Poll at the returned interval until the user approves; then receive access + refresh tokens.
Auth & OAuth,Refresh an expired access token,POST,/api/v4/oauth/token,n/a,n/a (client credentials),"grant_type=refresh_token, refresh_token, client_id, client_secret",Access tokens expire after 2 hours; expired tokens get 401 invalid_auth. use_refresh_token is enabled.
Auth & OAuth,Get an app-only token (client credentials grant),POST,/api/v4/oauth/token,n/a,n/a (client credentials),"grant_type=client_credentials, client_id, client_secret",Supported by grant_flows but the token has no user attached — nearly every v4 endpoint requires current_user so this is of limited practical use.
Auth & OAuth,Revoke a token (standard OAuth revocation),POST,/api/v4/oauth/revoke,n/a,n/a (client credentials + the token),"token, client_id, client_secret",RFC 7009 revocation endpoint.
Auth & OAuth,Revoke the current token / log out,POST,/api/v4/user/revoke,none declared (restricted tokens blocked; legacy tokens OK),Any authenticated user,none,"Sets revoked_at on the presented token. Returns success, owner_email, key_name (app name)."
Auth & OAuth,Inspect a token (introspection / token info),POST / GET,/api/v4/oauth/introspect and /api/v4/oauth/token/info,n/a,Token holder / client,token,Standard Doorkeeper endpoints for checking token validity/scopes/expiry.
Current user,Get my profile,GET,/api/v4/user,none declared (restricted tokens blocked; legacy tokens OK),Any authenticated user,"expand=shipping_address,billing_address; avatar_size=<px>","Returns id (usr_…), name, avatar URL, admin/auditor flags, own email + birthday. shipping_address comes from last physical card; billing_address from Stripe cardholder."
Current user,List organizations I belong to,GET,/api/v4/user/organizations,none declared (restricted tokens blocked; legacy tokens OK),Any authenticated user,"expand=balance_cents,users,account_number,reporting","Non-hidden orgs ordered by join date desc. Each org: name, slug, country, icon URL, background_image URL, transparent, playground_mode, financially_frozen, fee_percentage, donation_page_available."
Current user,List all my cards across orgs,GET,/api/v4/user/cards,none declared (restricted tokens blocked; legacy tokens OK),Any authenticated user (own cards),"expand=organization,user,total_spent_cents","Returns type (virtual/physical), status, name, last4/exp (only after activation), personalization + shipping for physical cards."
Current user,List card grants I've received,GET,/api/v4/user/card_grants,none declared (restricted tokens blocked; legacy tokens OK),Any authenticated user (own grants),"expand=balance_cents,disbursements,user,organization","Grants where I'm the grantee, newest first."
Current user,Find my transactions missing receipts,GET,/api/v4/user/transactions/missing_receipt,ledgers:read,Any authenticated user (own card charges),"limit (≤100, default 25), after=txn_… cursor","Charges on my own Stripe cards still missing a receipt, newest first, paginated envelope (total_count, has_more, data)."
Current user,Get my available mobile app icons,GET,/api/v4/user/available_icons,none declared (restricted tokens blocked; legacy tokens OK),Any authenticated user,none,"Flags: frc (robotics team), admin, platinum card, testflight, hackathon_grant, premium."
Current user,Get an Intercom support-chat JWT,GET,/api/v4/user/intercom_token,none declared (restricted tokens blocked; legacy tokens OK),Any authenticated user via a TRUSTED OAuth app,none,"1-hour JWT with user_id + email for embedding the Intercom messenger (used by the official mobile app)."
User lookup (admin),Look up any user by public ID,GET,/api/v4/users/:id,user_lookup,HCB auditor role + token with admin:read,avatar_size,"Returns the public user object. Email/birthday only with pii scope + admin:write."
User lookup (admin),Look up any user by email,GET,/api/v4/users/by_email/:email,user_lookup,HCB auditor role + token with admin:read,email in path,Same visibility rules as lookup by ID.
Invitations,List my pending org invitations,GET,/api/v4/user/invitations,none declared (restricted tokens blocked; legacy tokens OK),Any authenticated user,none,"Each invitation embeds sender (user object), organization (org object), role, accepted flag."
Invitations,View one of my invitations,GET,/api/v4/user/invitations/:id,none declared (restricted tokens blocked; legacy tokens OK),The invited user (or HCB auditor),id (ivt public id or hashid),Cancelled/rejected invitations 404.
